date,site,pxct,pxin,pxna,toha,inha,drha,naha
1988-01-14,Main Lake Central,358338,42,0,32250.42,3.78,32246.64,0
1988-02-15,Main Lake Central,358338,1004,0,32250.42,90.36,32160.06,0
1988-03-02,Main Lake Central,358338,139,0,32250.42,12.51,32237.91,0
1988-04-03,Main Lake Central,358338,128,0,32250.42,11.52,32238.9,0
1988-04-19,Main Lake Central,358338,14,0,32250.42,1.26,32249.16,0
1988-05-05,Main Lake Central,358338,158872,0,32250.42,14298.48,17951.94,0
1988-06-06,Main Lake Central,358338,129068,81,32250.42,11616.12,20627.01,7.29
1988-06-22,Main Lake Central,358338,102883,53,32250.42,9259.47,22986.18,4.77
1988-07-24,Main Lake Central,358338,24671,0,32250.42,2220.39,30030.03,0
1988-08-09,Main Lake Central,358338,4335,0,32250.42,390.15,31860.27,0
1988-08-25,Main Lake Central,358338,472,0,32250.42,42.48,32207.94,0
1988-09-10,Main Lake Central,358338,39,1,32250.42,3.51,32246.82,0.09
1988-09-26,Main Lake Central,358338,81,0,32250.42,7.29,32243.13,0
1988-10-12,Main Lake Central,358338,86,0,32250.42,7.74,32242.68,0
1988-12-15,Main Lake Central,358338,69,0,32250.42,6.21,32244.21,0
1989-02-01,Main Lake Central,358338,23,0,32250.42,2.07,32248.35,0
1989-02-17,Main Lake Central,358338,13,0,32250.42,1.17,32249.25,0
1989-03-21,Main Lake Central,358338,79,0,32250.42,7.11,32243.31,0
1989-04-06,Main Lake Central,358338,23,0,32250.42,2.07,32248.35,0
1989-05-08,Main Lake Central,358338,2181,1,32250.42,196.29,32054.04,0.09
1989-06-09,Main Lake Central,358338,639,0,32250.42,57.51,32192.91,0
1989-06-25,Main Lake Central,358338,62256,40,32250.42,5603.04,26643.78,3.6
1989-07-11,Main Lake Central,358338,40288,19,32250.42,3625.92,28622.79,1.71
1989-07-27,Main Lake Central,358338,21498,0,32250.42,1934.82,30315.6,0
1989-08-12,Main Lake Central,358338,2631,0,32250.42,236.79,32013.63,0
1989-08-28,Main Lake Central,358338,566,0,32250.42,50.94,32199.48,0
1989-09-13,Main Lake Central,358338,100,0,32250.42,9,32241.42,0
1989-10-15,Main Lake Central,358338,1,0,32250.42,0.09,32250.33,0
1989-12-02,Main Lake Central,358338,363,0,32250.42,32.67,32217.75,0
1990-02-20,Main Lake Central,358338,7750,0,32250.42,697.5,31552.92,0
1990-03-08,Main Lake Central,358338,935,0,32250.42,84.15,32166.27,0
1990-03-24,Main Lake Central,358338,89,0,32250.42,8.01,32242.41,0
1990-05-11,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1990-06-12,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1990-07-30,Main Lake Central,358338,1,0,32250.42,0.09,32250.33,0
1990-08-15,Main Lake Central,358338,1,0,32250.42,0.09,32250.33,0
1990-08-31,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1990-09-16,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1990-11-03,Main Lake Central,358338,2,0,32250.42,0.18,32250.24,0
1990-12-21,Main Lake Central,358338,5,0,32250.42,0.45,32249.97,0
1991-01-06,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1991-02-23,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1991-03-11,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1991-04-12,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1991-05-14,Main Lake Central,358338,0,0,32250.42,0,32250.42,0
1991-06-15,Main Lake Central,358338,197272,111,32250.42,17754.48,14485.95,9.99
1991-07-01,Main Lake Central,358338,173500,114,32250.42,15615,16625.16,10.26
1991-07-17,Main Lake Central,358338,152364,69,32250.42,13712.76,18531.45,6.21
1991-08-18,Main Lake Central,358338,104621,0,32250.42,9415.89,22834.53,0
1991-09-03,Main Lake Central,358338,51933,0,32250.42,4673.97,27576.45,0
1991-09-19,Main Lake Central,358338,21440,0,32250.42,1929.6,30320.82,0
1991-10-05,Main Lake Central,358338,2154,0,32250.42,193.86,32056.56,0
1991-10-21,Main Lake Central,358338,417,0,32250.42,37.53,32212.89,0
1991-11-06,Main Lake Central,358338,72,0,32250.42,6.48,32243.94,0
1991-12-08,Main Lake Central,358338,8,0,32250.42,0.72,32249.7,0
1992-01-09,Main Lake Central,358338,3,0,32250.42,0.27,32250.15,0
1992-02-10,Main Lake Central,358338,1001,0,32250.42,90.09,32160.33,0
1992-02-26,Main Lake Central,358338,177,0,32250.42,15.93,32234.49,0
1992-04-14,Main Lake Central,358338,241043,0,32250.42,21693.87,10556.55,0
1992-05-16,Main Lake Central,358338,289997,0,32250.42,26099.73,6150.69,0
1992-07-19,Main Lake Central,358338,290123,77,32250.42,26111.07,6132.42,6.93
1992-08-04,Main Lake Central,358338,286389,0,32250.42,25775.01,6475.41,0
1992-08-20,Main Lake Central,358338,281441,0,32250.42,25329.69,6920.73,0
1992-10-23,Main Lake Central,358338,217299,0,32250.42,19556.91,12693.51,0
1992-11-08,Main Lake Central,358338,181182,0,32250.42,16306.38,15944.04,0
1992-11-24,Main Lake Central,358338,124747,0,32250.42,11227.23,21023.19,0
1993-01-11,Main Lake Central,358338,28349,0,32250.42,2551.41,29699.01,0
1993-01-27,Main Lake Central,358338,8537,0,32250.42,768.33,31482.09,0
1993-02-12,Main Lake Central,358338,53736,0,32250.42,4836.24,27414.18,0
1993-02-28,Main Lake Central,358338,9741,0,32250.42,876.69,31373.73,0
1993-04-01,Main Lake Central,358338,557,0,32250.42,50.13,32200.29,0
1993-04-17,Main Lake Central,358338,3571,0,32250.42,321.39,31929.03,0
1993-05-03,Main Lake Central,358338,259002,0,32250.42,23310.18,8940.24,0
